[load] data\fixed_feature_instances_multi.json  (720 instances)
  [weight_ankle_rom_kneeling_A167] side=low  F_csv=77.10  F_check=77.10
  [weight_ankle_rom_kneeling_A098] side=low  F_csv=74.39  F_check=74.39
  [weight_ankle_rom_kneeling_A053] side=low  F_csv=71.70  F_check=71.70
  [weight_ankle_rom_kneeling_A030] side=low  F_csv=66.27  F_check=66.27
  [weight_ankle_rom_kneeling_A123] side=high  F_csv=0.17  F_check=0.17
  [weight_ankle_rom_kneeling_A031] side=high  F_csv=0.31  F_check=0.31
  [weight_ankle_rom_kneeling_A039] side=high  F_csv=0.78  F_check=0.78
  [weight_ankle_rom_kneeling_A120] side=high  F_csv=0.92  F_check=0.92
  [weight_root_translate_peak_vel_jogging_turning_A029] side=low  F_csv=348.02  F_check=348.02
  [weight_root_translate_peak_vel_jogging_turning_A061] side=low  F_csv=342.88  F_check=342.88
  [weight_root_translate_peak_vel_jogging_turning_A024] side=low  F_csv=309.91  F_check=309.91
  [weight_root_translate_peak_vel_jogging_turning_A064] side=low  F_csv=301.20  F_check=301.20
  [weight_root_translate_peak_vel_jogging_turning_A268] side=high  F_csv=139.95  F_check=139.95
  [weight_root_translate_peak_vel_jogging_turning_A039] side=high  F_csv=142.51  F_check=142.51
  [weight_root_translate_peak_vel_jogging_turning_A034] side=high  F_csv=152.07  F_check=152.07
  [weight_root_translate_peak_vel_jogging_turning_A025] side=high  F_csv=152.68  F_check=152.68
  [weight_root_translate_peak_vel_jumping_turning_A018] side=low  F_csv=246.63  F_check=246.63
  [weight_root_translate_peak_vel_jumping_turning_A021] side=low  F_csv=242.34  F_check=242.34
  [weight_root_translate_peak_vel_jumping_turning_A024] side=low  F_csv=240.19  F_check=240.19
